	Domain	Phylum	Class	Order	Family	Genus	OTU
88eed8168512fb81464d800f5514225e	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Anaeroplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	NA
80602033de6305407d958a99682c1453	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Anaeroplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	NA
322b093fe7a2a5cfa6dc13e718a20cb3	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Anaeroplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	NA
eb8cbf5ac60ed90b4eb3fb9b23dbb303	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Anaeroplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	NA
e188745d40aeed60e483e9c61e857f6a	k__Bacteria	p__OD1	c__ABY1	NA	NA	NA	NA
c12323bc2d0495b55d59c16c7a7fcfe0	k__Bacteria	p__OD1	c__ABY1	NA	NA	NA	NA
d8ca9e304c62b6cf136af0283b1378a9	k__Bacteria	p__OD1	c__ABY1	NA	NA	NA	NA
3227c00c227cc023f6787661cac28b02	k__Bacteria	p__OD1	c__ABY1	NA	NA	NA	NA
7904423cae5d162919940826121f3dca	k__Bacteria	p__OD1	c__ABY1	NA	NA	NA	NA
91a0e15e47f149c5f51ed9b295ac837b	k__Archaea	p__[Parvarchaeota]	c__[Parvarchaea]	o__YLA114	NA	NA	NA
6958641327558634134b64e7b7e93f2c	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	NA
13c6d3a871b2246d6be2a66e04651628	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	NA
494e7cb040a86bd3d91e7066a86d06d0	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	NA
884242d6a72691e6975dbf5c41bb8f8c	k__Archaea	p__Crenarchaeota	c__MCG	o__pGrfC26	NA	NA	NA
b5fc9c6bf5f480c539df2632ec3a71bd	k__Archaea	p__Crenarchaeota	c__MCG	o__pGrfC26	NA	NA	NA
7585007f54f45677feb7db2f29f8ae80	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__SAGMA-X	NA	NA
d59c1e8461a253f5e1fd18d3a0674976	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
8c3125fd0c94bc5bd7e23b94e386e336	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
028b7889fd11d2579fbec2150449d2b9	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
